PlayerID,Age,Goals,Assists,Pass_Accuracy,DefensiveDuelsWon,Efficiency_Index,MarketValueEUR
435,36,0,0,100.00000,2,22.000000,40000000
435,31,0,0,100.00000,2,22.000000,120000000
435,27,0,0,100.00000,2,22.000000,100000000
435,31,0,0,100.00000,2,22.000000,20000000
435,24,0,0,100.00000,2,22.000000,150000000
435,36,0,0,100.00000,2,22.000000,100000000
435,21,0,0,100.00000,2,22.000000,80000000
435,25,0,0,100.00000,2,22.000000,50000000
435,18,0,0,100.00000,2,22.000000,60000000
435,25,0,0,100.00000,2,22.000000,1000000
435,18,0,0,100.00000,2,22.000000,2000000
435,17,0,0,100.00000,2,22.000000,30000000
435,17,0,0,100.00000,2,22.000000,2000000
435,26,0,0,100.00000,2,22.000000,5000000
435,23,0,0,100.00000,2,22.000000,40000000
435,32,0,0,100.00000,2,22.000000,1000000
435,17,0,0,100.00000,2,22.000000,100000000
435,27,0,0,100.00000,2,22.000000,30000000
435,17,0,0,100.00000,2,22.000000,150000000
435,27,0,0,100.00000,2,22.000000,500000
435,20,0,0,100.00000,2,22.000000,100000000
435,35,0,0,100.00000,2,22.000000,60000000
435,35,0,0,100.00000,2,22.000000,120000000
435,33,0,0,100.00000,2,22.000000,2000000
435,21,0,0,100.00000,2,22.000000,5000000
435,26,0,0,100.00000,2,22.000000,8000000
435,31,0,0,100.00000,2,22.000000,120000000
435,17,0,0,100.00000,2,22.000000,15000000
435,17,0,0,100.00000,2,22.000000,500000
435,28,0,0,100.00000,2,22.000000,3000000
435,20,0,0,100.00000,2,22.000000,8000000
435,20,0,0,100.00000,2,22.000000,50000000
435,23,0,0,100.00000,2,22.000000,500000
435,33,0,0,100.00000,2,22.000000,10000000
435,27,0,0,100.00000,2,22.000000,40000000
435,28,0,0,100.00000,2,22.000000,80000000
28,30,0,0,81.70732,6,22.341463,120000000
28,17,0,0,81.70732,6,22.341463,2000000
28,18,0,0,81.70732,6,22.341463,15000000
28,17,0,0,81.70732,6,22.341463,80000000
28,23,0,0,81.70732,6,22.341463,80000000
28,34,0,0,81.70732,6,22.341463,15000000
28,31,0,0,81.70732,6,22.341463,20000000
28,23,0,0,81.70732,6,22.341463,8000000
28,31,0,0,81.70732,6,22.341463,1000000
28,19,0,0,81.70732,6,22.341463,10000000
28,27,0,0,81.70732,6,22.341463,40000000
28,23,0,0,81.70732,6,22.341463,2000000
28,26,0,0,81.70732,6,22.341463,15000000
28,21,0,0,81.70732,6,22.341463,150000000
28,27,0,0,81.70732,6,22.341463,500000
28,34,0,0,81.70732,6,22.341463,80000000
28,24,0,0,81.70732,6,22.341463,500000
28,30,0,0,81.70732,6,22.341463,60000000
28,27,0,0,81.70732,6,22.341463,500000
28,32,0,0,81.70732,6,22.341463,10000000
28,34,0,0,81.70732,6,22.341463,50000000
28,23,0,0,81.70732,6,22.341463,40000000
28,25,0,0,81.70732,6,22.341463,40000000
28,17,0,0,81.70732,6,22.341463,50000000
28,22,0,0,81.70732,6,22.341463,50000000
28,32,0,0,81.70732,6,22.341463,500000
28,24,0,0,81.70732,6,22.341463,1000000
28,21,0,0,81.70732,6,22.341463,150000000
28,23,0,0,81.70732,6,22.341463,10000000
28,29,0,0,81.70732,6,22.341463,15000000
28,35,0,0,81.70732,6,22.341463,3000000
28,32,0,0,81.70732,6,22.341463,80000000
28,22,0,0,81.70732,6,22.341463,150000000
28,33,0,0,81.70732,6,22.341463,80000000
28,33,0,0,81.70732,6,22.341463,3000000
28,35,0,0,81.70732,6,22.341463,40000000
500,33,0,0,70.00000,4,18.000000,100000000
500,21,0,0,70.00000,4,18.000000,60000000
500,23,0,0,70.00000,4,18.000000,120000000
500,17,0,0,70.00000,4,18.000000,80000000
500,32,0,0,70.00000,4,18.000000,15000000
500,35,0,0,70.00000,4,18.000000,2000000
500,17,0,0,70.00000,4,18.000000,10000000
500,17,0,0,70.00000,4,18.000000,500000
500,34,0,0,70.00000,4,18.000000,1000000
500,30,0,0,70.00000,4,18.000000,15000000
500,35,0,0,70.00000,4,18.000000,120000000
500,19,0,0,70.00000,4,18.000000,50000000
500,28,0,0,70.00000,4,18.000000,1000000
500,31,0,0,70.00000,4,18.000000,15000000
500,23,0,0,70.00000,4,18.000000,500000
500,34,0,0,70.00000,4,18.000000,5000000
500,29,0,0,70.00000,4,18.000000,60000000
500,20,0,0,70.00000,4,18.000000,500000
500,34,0,0,70.00000,4,18.000000,100000000
500,23,0,0,70.00000,4,18.000000,120000000
500,36,0,0,70.00000,4,18.000000,60000000
500,32,0,0,70.00000,4,18.000000,80000000
500,19,0,0,70.00000,4,18.000000,100000000
500,33,0,0,70.00000,4,18.000000,8000000
500,21,0,0,70.00000,4,18.000000,30000000
500,31,0,0,70.00000,4,18.000000,120000000
500,28,0,0,70.00000,4,18.000000,15000000
500,27,0,0,70.00000,4,18.000000,10000000
500,29,0,0,70.00000,4,18.000000,100000000
500,28,0,0,70.00000,4,18.000000,80000000
500,22,0,0,70.00000,4,18.000000,40000000
500,34,0,0,70.00000,4,18.000000,500000
500,26,0,0,70.00000,4,18.000000,500000
500,26,0,0,70.00000,4,18.000000,60000000
500,33,0,0,70.00000,4,18.000000,20000000
500,35,0,0,70.00000,4,18.000000,150000000
500,21,0,0,70.00000,4,18.000000,20000000
500,18,0,0,70.00000,4,18.000000,100000000
500,35,0,0,70.00000,4,18.000000,40000000
500,31,0,0,70.00000,4,18.000000,15000000
500,29,0,0,70.00000,4,18.000000,30000000
500,32,0,0,70.00000,4,18.000000,80000000
500,30,0,0,70.00000,4,18.000000,40000000
500,24,0,0,70.00000,4,18.000000,500000
500,29,0,0,70.00000,4,18.000000,50000000
500,32,0,0,70.00000,4,18.000000,120000000
96,24,0,0,87.32394,1,18.464789,20000000
96,18,0,0,87.32394,1,18.464789,1000000
96,27,0,0,87.32394,1,18.464789,120000000
96,19,0,0,87.32394,1,18.464789,60000000
