PlayerID,PlayerName,Age,Height,Weight,PreferredFoot,Nationality,ClubName,LeagueName,LeagueCountry,UEFACoefficient,PositionName,PositionGroup,MarketValueEUR,WageEUR,Matches,MinutesPlayed,Goals,Assists,GoalContribution,xG,xA,PassAccuracy,KeyPasses,TacklesWon,Interceptions,DefensiveDuelsWon,Shots,ShotsOnTarget,DribblesCompleted,ProgressivePasses,ProgressiveCarries,GoalValueRatio,PerformanceScore
8,"Adama Garcia",28,188,72,Right,Denmark,"Inter Wanderers","Primeira Coroa",Portugal,92.5,LB,Defender,30899250.0000,11185.0000,83,6102,2,6,8,4.55,6.67,81.675,3.9299999999999997,8.280000000000001,7.91,262.2,2.1399999999999997,129.39999999999998,3.5900000000000003,22.33,8.14,0.0000000135,29.275000000000002
19,"Adama Wilson",24,175,73,Right,Serbia,"West Villans","Premier Division",France,92.5,RB,Defender,39131200.0000,12750.0000,116,9631,2,9,11,4.59,9.56,80.17999999999999,2.55,8.3,8.86,281.90000000000003,4.02,164.29999999999998,2.83,15.370000000000001,8.54,0.0000000186,28.195999999999998
21,"Jordan Muller",21,179,63,Right,France,"FC United FC","Premier Division",Germany,92.5,ST,Forward,65214500.0000,17935.0000,118,7895,29,20,49,33.61,19.8,77.225,5.169999999999999,1.7600000000000002,2.34,190.5,11.46,143,10.76,9.729999999999999,12.59,0.000000168525,66.83000000000001
22,"Nils Kovac",27,170,80,Right,Argentina,"United CF","Premier Division",Spain,92.5,ST,Forward,49365200.0000,13588.0000,90,6867,37,10,47,46.550000000000004,14.91,75.8,6,3.91,2.77,177.8,17.580000000000002,197.8,10,16.18,18.069999999999997,0.00000019692000000000002,53.864
25,"Mikkel Fernandez",33,171,68,Left,Poland,"Inter City FC","Primeira Coroa",Portugal,92.5,LW,Forward,65266800.0000,16406.0000,124,10248,37,15,52,42.989999999999995,15.269999999999998,76.34,7.779999999999999,3.6,2.3699999999999997,192.89999999999998,13.1,188.89999999999998,14.29,13.7,14.81,0.00000019258,60.025999999999996
27,"Nuno Weber",22,179,95,Right,Austria,"West Villans","Primeira Coroa",Portugal,92.5,RB,Defender,26813333.3333,6590.0000,83,6446,0,7,7,1.45,8.43,84.7,2.95,5.550000000000001,6.1,167,0.8,39.9,1.1400000000000001,8.91,3.64,0,30.63
28,"Jordan Jansen",24,175,58,Left,Portugal,"Inter Saints","Primeira Coroa",Portugal,92.5,RW,Forward,68881000.0000,24398.0000,144,12300,55,23,78,55.54,24.349999999999998,72.75999999999999,5.4399999999999995,3.7500000000000004,3.0900000000000003,270.4,15.63,214.60000000000002,8.27,11.759999999999998,11.459999999999999,0.0000001814,81.45400000000001
32,"Ibrahim Mensah",17,178,74,Right,Norway,"United AFC","Premier Division",France,92.5,CDM,Midfielder,64913250.0000,13607.5000,118,9590,21,19,40,24.84,22.67,88.69999999999999,6.0600000000000005,9.7,3.36,222.1,5.859999999999999,159.8,4.14,21.950000000000003,15.34,0.000000114125,64.9425
35,"Milos Pereira",24,168,78,Right,Serbia,"Dynamo Rangers","Premier Division",France,92.5,CM,Midfielder,39513000.0000,9110.0000,59,4224,9,10,19,10.379999999999999,10.370000000000001,76.65,4.25,2.07,3.45,89.80000000000001,3.63,88,2.46,10.23,7.28,0.00000029570000000000003,61.095
41,"Lars Petrov",17,172,85,Left,Senegal,"West Villans","Premier Division",Germany,92.5,LB,Defender,29618000.0000,8212.5000,104,7074,1,2,3,2.6,2.7499999999999996,80.8,2.88,8.65,6.620000000000001,210.1,1.59,69,1.3000000000000003,21.74,10.49,0.000000005275,24.199999999999996
42,"Felix Pereira",25,190,77,Right,Belgium,"Red Star United FC","Premier Division",England,92.5,CM,Midfielder,26713500.0000,8880.0000,58,4454,6,11,17,8.38,11.299999999999999,86.15,4.49,3.12,3.17,71.7,4.9399999999999995,95,2.28,15.07,9.01,0.00000011149999999999999,59.97
44,"Yannick Dubois",20,179,80,Right,Colombia,"Sporting FC","Liga Dorada",Spain,88.3,LB,Defender,40283200.0000,12160.0000,139,11188,6,9,15,7.120000000000001,10.17,85.98,1.8399999999999999,10.419999999999998,11.64,303.4,3.0100000000000002,171.1,4.180000000000001,24.25,11.29,0.000000026660000000000002,34.978
48,"Kofi Toure",30,180,76,Right,Sweden,"Dynamo Rangers","Premier Division",England,92.5,LB,Defender,58126400.0000,20350.0000,133,10660,7,4,11,9.43,4.96,83.42,3.16,12.25,9.77,252.7,2.31,170.10000000000002,2.6799999999999997,24.72,10.129999999999999,0.000000024219999999999998,31.312
50,"Lucas Owusu",17,172,81,Right,Netherlands,"Inter Saints","Premier Division",England,92.5,ST,Forward,33879750.0000,10527.5000,82,6034,15,8,23,17.880000000000003,11.08,74.675,6.84,1.9300000000000002,1.8199999999999998,169.3,14.06,143.1,6.4,11.72,13.22,0.00000012155,39.8375
63,"Kevin Lopez",24,178,71,Left,France,"Real Athletic Club","Serie Nazionale",Italy,92.5,LW,Forward,40984600.0000,12044.0000,109,8814,27,8,35,30.449999999999996,12.53,77.12,8.58,2.35,3.41,195,17,186.20000000000002,6.9799999999999995,10.229999999999999,12.71,0.00000014366,45.153999999999996
72,"Adama Horvat",27,177,70,Right,Spain,"Inter City FC","Primeira Coroa",Portugal,92.5,CAM,Midfielder,31944000.0000,8344.0000,107,8270,18,16,34,21.92,19.54,79.4,13.39,7.06,7.050000000000001,227.3,9.07,144.2,10.39,23.03,20.16,0.0000001136,49.77
78,"Dario Petrov",28,185,90,Right,"South Korea","Royal Wanderers","Premier Division",England,92.5,GK,Goalkeeper,45899000.0000,13763.3333,88,7221,0,4,4,0,4.31,72.33333333333333,0.55,0.44,0.9700000000000001,154.20000000000002,0,0,0,7.7299999999999995,0.72,0,20.763333333333332
79,"Milos Bianchi",26,174,72,Right,Uruguay,"Inter Saints","Premier Division",England,92.5,CM,Midfielder,26958000.0000,10690.0000,18,1109,0,3,3,0.42,3.06,80.6,3.32,2.41,0.97,56.9,2.18,30.6,0.73,5.11,5.32,0,35.68
96,"Kwame Petrov",22,179,63,Right,Uruguay,"Sporting SC","Primeira Coroa",Portugal,92.5,RW,Forward,25151800.0000,7966.0000,118,7967,34,17,51,37.46,19.209999999999997,79,8.48,3.1,1.92,224.7,17.95,203.10000000000002,10.32,11.4,17.98,0.00000032706,58.09400000000001
102,"Remi Toure",37,167,74,Left,Denmark,"South FC","Premier Division",England,92.5,CM,Midfielder,46851500.0000,12650.0000,109,8878,10,11,21,11.17,16.169999999999998,85.52499999999999,6.369999999999999,6.52,5.02,214.60000000000002,7.11,170,5.96,19.759999999999998,8.399999999999999,0.000000056125,43.6525
117,"Jamal Mensah",23,196,62,Left,Croatia,"West Villans","Premier Division",Spain,92.5,LW,Forward,99226000.0000,22996.0000,145,12277,58,22,80,66.17,20.91,79,4.640000000000001,2.7,1.63,246.59999999999997,13.879999999999999,180.89999999999998,9.870000000000001,14.809999999999999,11.760000000000002,0.00000011932,82.704
123,"Carlos Kovac",25,189,84,Right,Switzerland,"Red Star United FC","Premier Division",England,92.5,GK,Goalkeeper,20282000.0000,5260.0000,88,7097,0,1,1,0,1.3,74.97500000000001,0.36,0.37,1.27,98.1,0,0,0,11.83,0.94,0,13.6225
