DateID,Date,Month,Quarter,Year
1,2021-08-01,8,3,2021
2,2021-08-03,8,3,2021
3,2021-08-04,8,3,2021
4,2021-08-06,8,3,2021
5,2021-08-07,8,3,2021
6,2021-08-08,8,3,2021
7,2021-08-10,8,3,2021
8,2021-08-11,8,3,2021
9,2021-08-13,8,3,2021
10,2021-08-14,8,3,2021
11,2021-08-15,8,3,2021
12,2021-08-17,8,3,2021
13,2021-08-18,8,3,2021
14,2021-08-20,8,3,2021
15,2021-08-21,8,3,2021
16,2021-08-22,8,3,2021
17,2021-08-24,8,3,2021
18,2021-08-25,8,3,2021
19,2021-08-27,8,3,2021
20,2021-08-28,8,3,2021
21,2021-08-29,8,3,2021
22,2021-08-31,8,3,2021
23,2021-09-01,9,3,2021
24,2021-09-03,9,3,2021
25,2021-09-04,9,3,2021
26,2021-09-05,9,3,2021
27,2021-09-07,9,3,2021
28,2021-09-08,9,3,2021
29,2021-09-10,9,3,2021
30,2021-09-11,9,3,2021
31,2021-09-12,9,3,2021
32,2021-09-14,9,3,2021
33,2021-09-15,9,3,2021
34,2021-09-17,9,3,2021
35,2021-09-18,9,3,2021
36,2021-09-19,9,3,2021
37,2021-09-21,9,3,2021
38,2021-09-22,9,3,2021
39,2021-09-24,9,3,2021
40,2021-09-25,9,3,2021
41,2021-09-26,9,3,2021
42,2021-09-28,9,3,2021
43,2021-09-29,9,3,2021
44,2021-10-01,10,4,2021
45,2021-10-02,10,4,2021
46,2021-10-03,10,4,2021
47,2021-10-05,10,4,2021
48,2021-10-06,10,4,2021
49,2021-10-08,10,4,2021
50,2021-10-09,10,4,2021
51,2021-10-10,10,4,2021
52,2021-10-12,10,4,2021
53,2021-10-13,10,4,2021
54,2021-10-15,10,4,2021
55,2021-10-16,10,4,2021
56,2021-10-17,10,4,2021
57,2021-10-19,10,4,2021
58,2021-10-20,10,4,2021
59,2021-10-22,10,4,2021
60,2021-10-23,10,4,2021
61,2021-10-24,10,4,2021
62,2021-10-26,10,4,2021
63,2021-10-27,10,4,2021
64,2021-10-29,10,4,2021
65,2021-10-30,10,4,2021
66,2021-10-31,10,4,2021
67,2021-11-02,11,4,2021
68,2021-11-03,11,4,2021
69,2021-11-05,11,4,2021
70,2021-11-06,11,4,2021
71,2021-11-07,11,4,2021
72,2021-11-09,11,4,2021
73,2021-11-10,11,4,2021
74,2021-11-12,11,4,2021
75,2021-11-13,11,4,2021
76,2021-11-14,11,4,2021
77,2021-11-16,11,4,2021
78,2021-11-17,11,4,2021
79,2021-11-19,11,4,2021
80,2021-11-20,11,4,2021
81,2021-11-21,11,4,2021
82,2021-11-23,11,4,2021
83,2021-11-24,11,4,2021
84,2021-11-26,11,4,2021
85,2021-11-27,11,4,2021
86,2021-11-28,11,4,2021
87,2021-11-30,11,4,2021
88,2021-12-01,12,4,2021
89,2021-12-03,12,4,2021
90,2021-12-04,12,4,2021
91,2021-12-05,12,4,2021
92,2021-12-07,12,4,2021
93,2021-12-08,12,4,2021
94,2021-12-10,12,4,2021
95,2021-12-11,12,4,2021
96,2021-12-12,12,4,2021
97,2021-12-14,12,4,2021
98,2021-12-15,12,4,2021
99,2021-12-17,12,4,2021
100,2021-12-18,12,4,2021
101,2021-12-19,12,4,2021
102,2021-12-21,12,4,2021
103,2021-12-22,12,4,2021
104,2021-12-24,12,4,2021
105,2021-12-25,12,4,2021
106,2021-12-26,12,4,2021
107,2021-12-28,12,4,2021
108,2021-12-29,12,4,2021
109,2021-12-31,12,4,2021
110,2022-01-01,1,1,2022
111,2022-01-02,1,1,2022
112,2022-01-04,1,1,2022
113,2022-01-05,1,1,2022
114,2022-01-07,1,1,2022
115,2022-01-08,1,1,2022
116,2022-01-09,1,1,2022
117,2022-01-11,1,1,2022
118,2022-01-12,1,1,2022
119,2022-01-14,1,1,2022
120,2022-01-15,1,1,2022
121,2022-01-16,1,1,2022
122,2022-01-18,1,1,2022
123,2022-01-19,1,1,2022
124,2022-01-21,1,1,2022
125,2022-01-22,1,1,2022
126,2022-01-23,1,1,2022
127,2022-01-25,1,1,2022
128,2022-01-26,1,1,2022
129,2022-01-28,1,1,2022
130,2022-01-29,1,1,2022
131,2022-01-30,1,1,2022
